# Residual cross-sections stored in JENDL-4.0/HE
# p + N-14

# Production of neutrons
# E_in [eV]   sigma[barns]
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
9.000000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.100000e+08  0.000000e+00
1.200000e+08  0.000000e+00
1.300000e+08  0.000000e+00
1.400000e+08  0.000000e+00
1.500000e+08  9.060933e-04
2.000000e+08  8.875948e-04


# Production of B-10
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  0.000000e+00
4.000000e+06  0.000000e+00
5.000000e+06  0.000000e+00
6.000000e+06  0.000000e+00
