target,target_z,target_a,energy_MeV,areal_mg_cm2,density_g_cm3,thickness_mm,nuclear_areal_density_cm2,n_protons,n_inelastic,n_c11,n_n13,n_o15,mean_continuous_loss_MeV,mean_inelastic_energy_MeV,mean_c11_energy_MeV,mean_n13_energy_MeV,mean_o15_energy_MeV,physics_list,geant4_version,seed,threads,batch_count,stopping_condition
O16,8,16,60,40,1.14,0.350877192982,1.50553519e+21,100000,59,1,2,10,0.376287231593,60.0,60.0,60.0,60.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3880000,8,1,proton_cap
O16,8,16,65,20,1.14,0.175438596491,7.52767595e+20,100000,32,4,0,7,0.176684628427,65.0,65.0,0.0,65.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3885000,8,1,proton_cap
O16,8,16,70,40,1.14,0.350877192982,1.50553519e+21,100000,45,4,0,7,0.333988696807,70.0,70.0,0.0,70.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3890000,8,1,proton_cap
O16,8,16,75,60,1.14,0.526315789474,2.258302785e+21,100000,84,9,0,14,0.475236432378,75.0,75.0,0.0,75.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3895000,8,1,proton_cap
O16,8,16,80,40,1.14,0.350877192982,1.50553519e+21,100000,42,3,0,7,0.301601822699,80.0,80.0,0.0,80.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3900000,8,1,proton_cap
O16,8,16,85,60,1.14,0.526315789474,2.258302785e+21,100000,82,9,3,17,0.431570588477,85.0,85.0,85.0,85.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3905000,8,1,proton_cap
O16,8,16,90,40,1.14,0.350877192982,1.50553519e+21,100000,45,3,1,10,0.275596003804,90.0,90.0,90.0,90.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3910000,8,1,proton_cap
O16,8,16,95,60,1.14,0.526315789474,2.258302785e+21,100000,72,5,0,11,0.397233765844,95.0,95.0,0.0,95.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3915000,8,1,proton_cap
O16,8,16,100,60,1.14,0.526315789474,2.258302785e+21,100000,65,0,1,13,0.38227207902599997,100.0,0.0,100.0,100.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3920000,8,1,proton_cap
O16,8,16,105,80,1.14,0.701754385965,3.01107038e+21,100000,92,2,0,22,0.491769805128,105.0,105.0,0.0,105.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3925000,8,1,proton_cap
O16,8,16,110,80,1.14,0.701754385965,3.01107038e+21,100000,89,8,3,23,0.475323350554,110.0,110.0,110.0,110.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3930000,8,1,proton_cap
O16,8,16,115,60,1.14,0.526315789474,2.258302785e+21,100000,78,10,0,17,0.34501761718,115.0,115.0,0.0,115.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3935000,8,1,proton_cap
O16,8,16,120,40,1.14,0.350877192982,1.50553519e+21,100000,36,4,2,8,0.222873930803,120.0,120.0,120.0,120.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3940000,8,1,proton_cap
