channel_id,target,residual,threshold_MeV,energy_MeV,sigma_mb
p_C12_x_C11,C12,C11,17.9,65.51752921535893,75.61413850384822
p_C12_x_C11,C12,C11,17.9,65.75959933222038,75.4411015298084
p_C12_x_C11,C12,C11,17.9,66.0016694490818,75.29183047311116
p_C12_x_C11,C12,C11,17.9,66.24373956594323,75.15192173822481
p_C12_x_C11,C12,C11,17.9,66.48580968280467,75.02398246105835
p_C12_x_C11,C12,C11,17.9,66.72787979966611,74.90996701716715
p_C12_x_C11,C12,C11,17.9,66.96994991652755,74.81973318369158
p_C12_x_C11,C12,C11,17.9,67.21202003338898,74.70563013392302
p_C12_x_C11,C12,C11,17.9,67.45409015025041,74.63851058910859
p_C12_x_C11,C12,C11,17.9,67.69616026711185,74.5775643381528
p_C12_x_C11,C12,C11,17.9,67.93823038397329,74.5003464777898
p_C12_x_C11,C12,C11,17.9,68.18030050083473,74.42143468105388
p_C12_x_C11,C12,C11,17.9,68.42237061769616,74.32837877787318
p_C12_x_C11,C12,C11,17.9,68.66444073455759,74.25127208422833
p_C12_x_C11,C12,C11,17.9,68.90651085141903,74.17425165698609
p_C12_x_C11,C12,C11,17.9,69.14858096828047,74.10159310603049
p_C12_x_C11,C12,C11,17.9,69.3906510851419,74.05636935004615
p_C12_x_C11,C12,C11,17.9,69.63272120200334,73.99662432432851
p_C12_x_C11,C12,C11,17.9,69.87479131886478,73.94330897996565
p_C12_x_C11,C12,C11,17.9,70.11686143572621,73.84630644265789
p_C12_x_C11,C12,C11,17.9,70.35893155258765,73.74829146014332
p_C12_x_C11,C12,C11,17.9,70.60100166944908,73.66666832838112
p_C12_x_C11,C12,C11,17.9,70.84307178631052,73.55167948840455
p_C12_x_C11,C12,C11,17.9,71.08514190317196,73.44021337643022
p_C12_x_C11,C12,C11,17.9,71.32721202003339,73.34822923247157
p_C12_x_C11,C12,C11,17.9,71.56928213689483,73.2198792360893
p_C12_x_C11,C12,C11,17.9,71.81135225375625,73.08111873135482
p_C12_x_C11,C12,C11,17.9,72.0534223706177,72.93861375229983
p_C12_x_C11,C12,C11,17.9,72.29549248747914,72.81853831471958
p_C12_x_C11,C12,C11,17.9,72.53756260434056,72.65766067302503
p_C12_x_C11,C12,C11,17.9,72.779632721202,72.52793174094106
p_C12_x_C11,C12,C11,17.9,73.02170283806343,72.43154266460624
p_C12_x_C11,C12,C11,17.9,73.26377295492487,72.30799678610832
p_C12_x_C11,C12,C11,17.9,73.50584307178632,72.18165807150294
p_C12_x_C11,C12,C11,17.9,73.74791318864774,72.01922423115828
p_C12_x_C11,C12,C11,17.9,73.98998330550918,71.88299115272844
p_C12_x_C11,C12,C11,17.9,74.23205342237061,71.74020124894565
p_C12_x_C11,C12,C11,17.9,74.47412353923205,71.58587197031125
p_C12_x_C11,C12,C11,17.9,74.7161936560935,71.46148436791626
p_C12_x_C11,C12,C11,17.9,74.95826377295492,71.29715781954322
p_C12_x_C11,C12,C11,17.9,75.20033388981636,71.15457943470454
p_C12_x_C11,C12,C11,17.9,75.44240400667779,70.97326616731938
p_C12_x_C11,C12,C11,17.9,75.68447412353923,70.83914669400812
p_C12_x_C11,C12,C11,17.9,75.92654424040067,70.70276044900422
p_C12_x_C11,C12,C11,17.9,76.1686143572621,70.56417413388232
p_C12_x_C11,C12,C11,17.9,76.41068447412354,70.4499754693966
p_C12_x_C11,C12,C11,17.9,76.65275459098497,70.30567616721032
p_C12_x_C11,C12,C11,17.9,76.89482470784641,70.16402442667021
p_C12_x_C11,C12,C11,17.9,77.13689482470785,70.01089877674703
p_C12_x_C11,C12,C11,17.9,77.37896494156928,69.87916805446409
p_C12_x_C11,C12,C11,17.9,77.62103505843072,69.7349449984518
p_C12_x_C11,C12,C11,17.9,77.86310517529215,69.5555122714019
p_C12_x_C11,C12,C11,17.9,78.10517529215359,69.36556947558488
p_C12_x_C11,C12,C11,17.9,78.34724540901503,69.18483281369265
