energy_MeV,sigma_sensitivity_mb
32.1118530884808,73.43919036500381
32.35392320534224,74.38421033881231
32.59599332220367,75.28487439550955
32.83806343906511,76.14198188662925
33.080133555926544,76.95651238274496
33.32220367278798,77.72961617514511
33.56427378964942,78.46260452567142
33.80634390651085,79.1569397781792
34.04841402337229,79.81422543968985
34.29048414023372,80.43619633332597
34.53255425709516,81.02470891870821
34.7746243739566,81.58173186878315
35.016694490818026,82.10933688213883
35.25876460767947,82.60930449247559
35.5008347245409,83.08223000882688
35.742904841402336,83.52849443126097
35.98497495826378,83.94851460104677
36.227045075125204,84.34274144687608
36.469115191986646,84.71165821611643
36.71118530884808,85.05577869829446
36.953255425709514,85.37564544769961
37.19532554257095,85.67182801168067
37.43739565943239,85.94492117087411
37.679465776293824,86.19554319726315
37.92153589315526,86.42433413561768
38.16360601001669,86.63195411351785
38.40567612687813,86.8190816848044
38.64774624373957,86.98641221095247
38.889816360601,87.13465628450946
39.13188647746244,87.26453819839287
39.37395659432387,87.37679446450218
39.616026711185306,87.47217238476405
39.85809682804675,87.55142867740504
40.10016694490818,87.61532685329058
40.342237061769616,87.66459031366021
40.58430717863105,87.69988918971723
40.826377295492485,87.72189434494645
41.068447412353926,87.73128017720722
41.31051752921536,87.72872375294563
41.552587646076795,87.71490398943996
41.79465776293823,87.69050088570141
42.03672787979966,87.6561948024932
42.278797996661105,87.61266579179458
42.52086811352254,87.56059297589428
42.76293823038397,87.50065397617952
43.00500834724541,87.43352439157054
43.24707846410684,87.35987732644674
43.48914858096828,87.28038296781956
43.73121869782972,87.1957082114192
43.97328881469115,87.10651633629466
44.215358931552586,87.01346672745849
44.45742904841402,86.91721464605725
44.69949916527546,86.81841104650182
44.941569282136896,86.71770243996059
45.18363939899833,86.61570468572783
45.425709515859765,86.51280854888005
45.6677796327212,86.40929057915372
45.90984974958264,86.30542364822574
46.151919866444075,86.20147783927486
46.39398998330551,86.09772050019612
46.636060100166944,85.9944163026826
46.87813021702838,85.89182730707891
47.12020033388982,85.79021303291067
47.362270450751254,85.68983053500483
47.60434056761269,85.59093448511173
47.84641068447412,85.49377725895201
48.08848080133556,85.39860902861267
48.330550918197,85.30567786022381
48.57262103505843,85.21522981685398
48.81469115191987,85.12750906656595
49.0567612687813,85.04275799558766
49.298831385642735,84.96121732655189
49.54090150250418,84.88312624177517
49.78297161936561,84.80872251154528
50.025041736227045,84.73824257393487
50.26711185308848,84.67185709977699
50.509181969949914,84.60954598864623
50.751252086811355,84.55125423718104
50.99332220367279,84.49692677637603
51.235392320534224,84.44650847262957
51.47746243739566,84.39994412784627
51.71953255425709,84.35717847865862
51.961602671118534,84.31815619483008
52.20367278797997,84.28282187689354
52.4457429048414,84.25112005308286
52.68781302170284,84.22299517560697
52.92988313856427,84.19839161631572
53.17195325542571,84.17725366180471
53.41402337228715,84.15952550800165
53.65609348914858,84.14515125427758
53.898163606010016,84.13407489712114
54.14023372287145,84.12624032341556
54.38230383973289,84.12159130335313
54.624373956594326,84.12007148302146
54.86644407345576,84.12162437669582
55.108514190317194,84.12617190831277
55.35058430717863,84.13299823125745
55.59265442404007,84.14065717685592
55.834724540901504,84.14766168540459
56.07679465776294,84.15252379089763
56.31886477462437,84.15375487901684
56.56093489148581,84.14986620813846
56.80300500834725,84.13936969350229
57.04507512520868,84.1207789543631
57.28714524207012,84.09261062348317
57.52921535893155,84.05338591773781
57.771285475792986,84.00163246788844
58.01335559265443,83.93588640473395
58.25542570951586,83.85469469788188
58.497495826377296,83.75661774229157
58.73956594323873,83.64023218653166
58.981636060100165,83.50413399537744
59.223706176961606,83.34694173794568
59.46577629382304,83.16730009104256
59.707846410684475,82.96388354579021
59.94991652754591,82.73540030390532
60.19198664440734,82.48094135719253
60.434056761268785,82.20223320776176
60.67612687813022,81.90218716639812
60.91819699499165,81.58369944357443
61.16026711185309,81.24963825847995
61.40233722871452,80.90283808663499
61.644407345575964,80.54609489097996
61.8864774624374,80.18216232020123
62.12854757929883,79.81374885403513
62.37061769616027,79.44351587217811
62.6126878130217,79.07407662120654
62.85475792988314,78.70799605254238
63.09682804674458,78.34779150395354
63.33889816360601,77.99593419731815
63.580968280467445,77.65485152637879
63.82303839732888,77.32693010991679
64.06510851419031,77.014519588176
64.30717863105176,76.71993714341552
64.5492487479132,76.44547272915248
64.79131886477462,76.1933949969565
65.03338898163605,75.96595593309893
65.27545909849749,75.76429839816731
65.51752921535893,75.58665046878016
65.75959933222038,75.4307983374635
66.0016694490818,75.29456506512741
66.24373956594323,75.17580478997795
66.48580968280467,75.07239757357259
66.72787979966611,74.98224486380464
66.96994991652755,74.90326555838061
67.21202003338898,74.8333926556424
67.45409015025041,74.77057048239199
67.69616026711185,74.71275249072785
67.93823038397329,74.65789961780621
68.18030050083473,74.60397920390506
68.42237061769616,74.5489644652067
68.66444073455759,74.49083451832328
68.90651085141903,74.42757495378227
69.14858096828047,74.35717895545565
69.3906510851419,74.27764896227599
69.63272120200334,74.1869988675256
69.87479131886478,74.08325674952061
70.11686143572621,73.96453626553883
70.35893155258765,73.83067046400205
70.60100166944908,73.68327652214063
70.84307178631052,73.52405058357039
71.08514190317196,73.35468096669085
71.32721202003339,73.17684570003848
71.56928213689483,72.99221043945633
71.81135225375625,72.80242676410748
72.0534223706177,72.60913084717659
72.29549248747914,72.41394249615793
72.53756260434056,72.21846455691633
72.779632721202,72.02428267522656
