profile_label,quantity,depth_low_mm,depth_high_mm,depth_mm,expected_count_run,expected_count_per_proton,expected_count_per_Gy
N13,production_nuclei,68.0,70.0,69.0,3.489484717716163,3.489484717716163e-06,348.9484717716163
N13,production_nuclei,70.0,72.0,71.0,3.498367986598379,3.498367986598379e-06,349.8367986598379
N13,production_nuclei,72.0,74.0,73.0,3.5059949210135186,3.5059949210135187e-06,350.59949210135187
N13,production_nuclei,74.0,76.0,75.0,3.5114128618927936,3.5114128618927934e-06,351.14128618927936
N13,production_nuclei,76.0,78.0,77.0,3.512790404209589,3.5127904042095894e-06,351.2790404209589
N13,production_nuclei,78.0,80.0,79.0,3.5068072857304964,3.5068072857304966e-06,350.68072857304963
N13,production_nuclei,80.0,82.0,81.0,3.4882283734443895,3.4882283734443897e-06,348.82283734443894
N13,production_nuclei,82.0,84.0,83.0,3.4499008778413613,3.4499008778413615e-06,344.9900877841361
N13,production_nuclei,84.0,86.0,85.0,3.383225592667232,3.383225592667232e-06,338.3225592667232
N13,production_nuclei,86.0,88.0,87.0,3.27904210693029,3.27904210693029e-06,327.904210693029
N13,production_nuclei,88.0,90.0,89.0,3.1292044744550385,3.1292044744550383e-06,312.92044744550384
N13,production_nuclei,90.0,92.0,91.0,2.929857937105133,2.929857937105133e-06,292.9857937105133
N13,production_nuclei,92.0,94.0,93.0,2.686106828686618,2.6861068286866182e-06,268.6106828686618
N13,production_nuclei,94.0,96.0,95.0,2.4139459493304667,2.4139459493304665e-06,241.39459493304668
N13,production_nuclei,96.0,98.0,97.0,2.1362483509402646,2.1362483509402644e-06,213.62483509402645
N13,production_nuclei,98.0,100.0,99.0,1.8771691338355936,1.8771691338355935e-06,187.71691338355936
N13,production_nuclei,100.0,102.0,101.0,1.6642728171001484,1.6642728171001484e-06,166.42728171001482
N13,production_nuclei,102.0,104.0,103.0,1.567024407436794,1.567024407436794e-06,156.7024407436794
N13,production_nuclei,104.0,106.0,105.0,1.8781039761735712,1.8781039761735711e-06,187.81039761735713
N13,production_nuclei,106.0,108.0,107.0,3.478343553116997,3.478343553116997e-06,347.83435531169965
N13,production_nuclei,108.0,110.0,109.0,7.6141764390621,7.6141764390621e-06,761.41764390621
N13,production_nuclei,110.0,112.0,111.0,13.214848932955622,1.3214848932955623e-05,1321.4848932955622
N13,production_nuclei,112.0,114.0,113.0,0.0,0.0,0.0
N13,production_nuclei,114.0,116.0,115.0,0.0,0.0,0.0
N13,production_nuclei,116.0,118.0,117.0,0.0,0.0,0.0
N13,production_nuclei,118.0,120.0,119.0,0.0,0.0,0.0
N13,production_nuclei,120.0,122.0,121.0,0.0,0.0,0.0
all_production,production_nuclei,0.0,2.0,1.0,47.533571273591335,4.753357127359133e-05,4753.357127359133
all_production,production_nuclei,2.0,4.0,3.0,47.64586726536812,4.764586726536812e-05,4764.5867265368115
all_production,production_nuclei,4.0,6.0,5.0,47.76132259745572,4.776132259745572e-05,4776.132259745572
all_production,production_nuclei,6.0,8.0,7.0,47.88023784377283,4.788023784377283e-05,4788.023784377283
all_production,production_nuclei,8.0,10.0,9.0,48.004037964239245,4.8004037964239245e-05,4800.403796423924
all_production,production_nuclei,10.0,12.0,11.0,48.13482727457239,4.813482727457239e-05,4813.482727457239
all_production,production_nuclei,12.0,14.0,13.0,48.2751353963339,4.82751353963339e-05,4827.51353963339
all_production,production_nuclei,14.0,16.0,15.0,48.42784945292492,4.842784945292492e-05,4842.784945292492
all_production,production_nuclei,16.0,18.0,17.0,48.596274901988,4.8596274901987994e-05,4859.6274901988
all_production,production_nuclei,18.0,20.0,19.0,48.78426185947768,4.8784261859477684e-05,4878.426185947768
all_production,production_nuclei,20.0,22.0,21.0,48.99631299651644,4.899631299651644e-05,4899.6312996516435
all_production,production_nuclei,22.0,24.0,23.0,49.237504847712025,4.9237504847712025e-05,4923.7504847712025
all_production,production_nuclei,24.0,26.0,25.0,49.51294511604998,4.951294511604998e-05,4951.294511604998
all_production,production_nuclei,26.0,28.0,27.0,49.826521299413685,4.9826521299413684e-05,4982.652129941368
all_production,production_nuclei,28.0,30.0,29.0,50.17903688054866,5.017903688054866e-05,5017.903688054866
